id,leetcode_number,title,learning_tip
266,53,最大子数组和,null
11,283,移动零,本题主要考查算法与数据结构的基础知识：循环不变量。即编码者对设置变量的含义需要清楚，变量定义明确以后「 ① 变量的初始值 ② 先赋值还是先移动 ③ 返回值」就很容易写出。本章的 4 个关于「循环不变量」的练习目标都是如此。
257,376,摆动序列,null
15,493,翻转对,"本题是「逆序对」和「力扣」第 315 题的进阶版本，定义了更强的逆序对。编码和前两道问题类似，在编码的过程中需要注意一些细节，建议大家先搞懂前两道问题在做本题。

如果准备时间有限，本题也可以不做（考查概率不是很大）。"
137,114,二叉树展开为链表,null
118,23,合并 k 个升序链表,null
212,1248,统计「优美子数组」,null
289,1143,最长公共子序列,null
10,27,移除元素,本题主要考查算法与数据结构的基础知识：循环不变量。即编码者对设置变量的含义需要清楚，变量定义明确以后「 ① 变量的初始值 ② 先赋值还是先移动 ③ 返回值」就很容易写出。本章的 4 个关于「循环不变量」的练习目标都是如此。
120,295,数据流的中位数,null
70,83,删除排序链表中的重复元素,null
50,438,找到字符串中所有字母异位词,null
213,1371,每个元音包含偶数次的最长子字符串,null
115,703,数据流中的第 k 大元素,null
280,121,买卖股票的最佳时机,null
234,60,排列序列,null
12,80,删除排序数组中的重复项 II,本题主要考查算法与数据结构的基础知识：循环不变量。即编码者对设置变量的含义需要清楚，变量定义明确以后「 ① 变量的初始值 ② 先赋值还是先移动 ③ 返回值」就很容易写出。本章的 4 个关于「循环不变量」的练习目标都是如此。
245,37,解数独,null
166,217,存在重复元素,null
227,47,全排列 II,null
73,86,分隔链表,null
119,355,设计推特,null
214,279,完全平方数,null
281,123,买卖股票的最佳时机 III,null
168,242,有效的字母异位词,null
291,10,正则表达式匹配,null
147,105,从前序与中序遍历序列构造二叉树,null
253,55,跳跃游戏,null
87,355,设计推特,null
180,454,四数相加 II,null
94,150,逆波兰表达式求值,null
112,622,设计循环队列,null
128,102,二叉树的层序遍历,null
101,84,柱状图中最大的矩形,null
102,316,去除重复字母,null
103,496,下一个更大元素 I,null
170,350,两个数组的交集 II,null
260,509,斐波那契数列,null
124,104,二叉树的最大深度,null
131,100,相同的树,null
136,113,路径总和 II,null
295,124,二叉树中的最大路径和,null
17,215,数组中的第 K 个最大元素,"本题也是「快速排序」的经典例题之一（另一题是「力扣」第 75 题：颜色分类）。

本题利用了 partition 的效果：① 数值分区 ② 返回值（数组的下标）在后续的排序过程中位置不变。

是一道非常经典的算法问题，大家一定要在理解了 partition 以后自己写出来。"
267,198,打家劫舍,null
230,77,组合,null
220,752,打开转盘锁,null
175,219,存在重复元素 II,null
66,237,删除链表中的结点,null
290,72,编辑距离,null
16,75,颜色分类,"本题是算法基础知识 partition 的典型应用，即考查了「三路快排」的子过程：遍历数组一次，把数组划分成 3 个区域。

写对本题的技巧是：定义清楚需要的变量，在编码的过程中保持变量的定义不变。

如果我们特别熟悉快速排序，做对本题不在话下。"
263,62,不同路径,null
140,144,二叉树的前序遍历,null
211,974,和可被 K 整除的子数组,null
173,290,单词规律,null
67,21,合并两个有序链表,null
265,64,最小路径和,null
90,707,设计链表,null
91,1206,设计跳表,null
14,315,计算右侧小于当前元素的个数,"本题是「逆序对」问题的进阶版本，需要在计算逆序的时候，记录具体元素的逆序关系，所以需要绑定元素的下标。

所以本题使用了「索引数组」：统计逆序数的时候使用索引，比较大小关系的时候使用索引对应的数值。

编码的过程其实和编写「逆序对」（或者说编写「归并排序」）是一样的。"
13,170,LCR 170. 交易逆序对的总数,"本题是学习「归并排序」经典的练习题「逆序对」，练习本题有助于我们理解「归并排序」中的「分而治之」思想与「递归」实现。

「逆序对」就是在执行「归并排序」的过程中，利用「两个子数组分别有序」快速计算逆序对总数。

计算完成以后，就消除逆序关系，完成排序。"
18,451,根据字符出现频率排序,"本题可以使用「优先队列」实现。

本题需要注意到题目最后数据范围：① 字符串的长度最多 5 * 10^5` （数据很长） ②  `s` 由大小写英文字母和数字组成（种类很少）。即属于「有大量重复元素」的情况，特别使用 partition，即「三路快排」。"
246,122,买卖股票的最佳时机 II,null
116,347,前 k 个高频元素,null
53,904,水果成篮,null
82,142,环形链表 II,null
141,94,二叉树的中序遍历,null
286,32,最长有效括号,null
58,16,最接近的三数之和,null
96,32,最长有效括号,null
216,542,01 矩阵,null
142,145,二叉树的后序遍历,null
283,309,最佳买卖股票时机含冷冻期,null
278,376,摆动序列,null
190,787,K 站中转内最便宜的航班,null
191,399,除法求值,null
304,50,"Pow(x, n)","我们在学习「递归」问题的时候，一定要理解其背后的思想是「分而治之」。

本题就是一个很好的例子，把一个较大的、复杂的问题、拆开算，利用拆好的结果快速计算目标值。

「递归」背后的「调用栈」隐藏了一些实现的细节，整体的思想（我们需要站在更高的角度看待问题）是「分而治之」。"
201,677,键值映射,null
41,719,找出第 K 小的数对距离,null
264,63,不同路径 II,null
200,211,添加与搜索单词 - 数据结构设计,null
205,304,二维区域和检索 - 矩阵不可变,null
219,126,单词接龙 II,null
83,160,相交链表,null
174,205,同构字符串,null
19,704,二分查找,"二分查找的最最基础的问题：在有序数组中查找。

可以应用本题来验证我们所掌握的所有「二分查找」模板代码。"
163,99,恢复二叉搜索树,null
276,238,除自身以外数组的乘积,null
218,127,单词接龙,null
207,238,除自身以外数组的乘积,null
186,381,O(1) 时间插入、删除和获取随机元素 - 允许重复,null
221,773,滑动谜题,null
301,322,零钱兑换,null
288,264,丑数 II,null
222,210,课程表 II,null
284,714,买卖股票的最佳时机含手续费,null
241,547,省份数量,null
25,81,搜索旋转排序数组 II,比「力扣」第 33 题：搜索旋转排序数组，多一个判别条件而已，建议先完成「力扣」第 33 题。
20,374,猜数字大小,"二分查找的最最基础的应用之一（另一个是「力扣」第 704 题：在有序数组中查找一个数的下标）。

经常被为「二分答案」，说人话就是「查找一个有范围的整数」。

整数数组显然是有序数组，因此可以使用二分查找。"
143,589,N 叉树的前序遍历,null
75,147,对链表进行插入排序,null
303,26,删除有序数组中的重复项,本题主要考查算法与数据结构的基础知识：循环不变量。即编码者对设置变量的含义需要清楚，变量定义明确以后「 ① 变量的初始值 ② 先赋值还是先移动 ③ 返回值」就很容易写出。本章的 4 个关于「循环不变量」的练习目标都是如此。
297,865,具有所有最深节点的最小子树,null
80,109,有序链表转换二叉搜索树,null
145,429,N 叉树的层序遍历,null
88,146,LRU 缓存,null
223,207,课程表,null
93,71,简化路径,null
185,380,O(1) 时间插入、删除和获取随机元素,null
153,108,将有序数组转换为二叉搜索树,null
97,341,扁平化嵌套列表迭代器,null
165,706,设计哈希映射,null
32,611,有效三角形的个数,null
158,173,二叉搜索树迭代器,null
24,33,搜索旋转排序数组,"本题的特点是「可以在循环体内找到」，和「力扣」第 153 题：搜索旋转有序数组的最小值，它们是不一样的问题。

「力扣」第 153 题：搜索旋转有序数组的最小值，这题必须要在退出循环以后才能确定答案。"
193,200,岛屿数量,null
34,154,寻找旋转排序数组中的最小值 II,null
36,852,山脉数组的峰顶索引,null
233,216,组合总和 III,null
161,110,平衡二叉树,null
39,275,H 指数 II,null
235,22,括号生成,null
225,802,找到最终的安全状态,null
38,287,寻找重复数,null
237,93,复原 IP 地址,null
31,436,寻找右区间,null
273,279,完全平方数,null
239,200,岛屿数量,null
240,79,单词搜索,null
46,3,无重复字符的最长子串,null
210,525,连续数组,null
68,203,移除链表元素,null
148,106,从中序与后序遍历序列构造二叉树,null
92,20,有效的括号,null
305,11,盛最多水的容器,null
86,23,合并 K 个升序链表,null
204,303,区域和检索 - 数组不可变,null
252,12,整数转罗马数字,null
151,700,二叉搜索树中的搜索,null
69,61,旋转链表,null
206,724,寻找数组的中心下标,null
71,24,两两交换链表中的结点,null
250,452,用最少数量的箭引爆气球,null
56,167,两数之和 II - 输入有序数组,"当前搜索区间里「最小的」与「最大的」相加都太小，说明「最小的」太小。

当前搜索区间里「最小的」与「最大的」相加都太大，说明「最大的」太大。"
255,135,分发糖果,null
49,76,最小覆盖子串,null
63,240,搜索二维矩阵 II,"这道题比较容易想到用二分查找。

不过本题更巧妙（标准）的做法是从「左下角」或者「右上角」开始找，如果没有做过本题，比较难在面试的时候想到。

本题的思路需要记一下。"
306,416,分割等和子集,null
258,921,使括号有效的最少添加,null
183,128,最长连续序列,null
187,149,直线上最多的点数,null
198,399,除法求值,null
287,174,地下城游戏,null
203,212,单词搜索 II,null
167,387,字符串中的第一个唯一字符,null
182,447,回旋镖的数量,null
195,128,最长连续序列,null
179,49,字母异位词分组,null
169,349,两个数组的交集,null
178,41,缺失的第一个正数,null
231,78,子集,null
215,322,零钱兑换,null
130,103,二叉树的锯齿形层序遍历,null
123,373,查找和最小的 k 对数字,null
154,109,有序链表转换二叉搜索树,null
155,98,验证二叉搜索树,null
60,633,平方数之和,null
117,215,数组中的第 K 个最大元素,null
28,69,x 的平方根,null
232,90,子集 II,null
62,881,救生艇,理解本题为什么可以使用「双指针」，而不应该只是记住解法，请见本题解「解题思路」部分。
35,162,寻找峰值,null
40,378,有序矩阵中第 K 小的元素,null
64,206,反转链表,null
208,560,和为 K 的子数组,null
113,641,设计循环双端队列,null
100,739,每日温度,null
107,962,最大宽度坡,null
127,199,二叉树的右视图,null
42,410,分割数组的最大值,null
85,148,排序链表,null
172,202,快乐数,null
129,107,二叉树的层序遍历 II,null
37,1095,山脉数组中查找目标值,null
247,343,整数拆分,null
249,435,无重叠区间,null
293,312,戳气球,null
30,744,寻找比目标字母大的最小字母,null
261,70,爬楼梯,null
197,765,情侣牵手,null
274,322,零钱兑换,null
296,543,二叉树的直径,null
275,343,整数拆分,null
184,36,有效的数独,null
65,92,反转链表 II,null
177,448,找到所有数组中消失的数字,null
22,74,二维矩阵的搜索,"把有序数组放在了一个表格中。

本题考查了「二维表格坐标」和「一维数组下标」之间的转换关系，其实还是「力扣」第 704 题。"
33,153,寻找旋转排序数组中的最小值,null
51,567,字符串的排列,null
59,42,接雨水,null
254,45,跳跃游戏 II,null
98,42,接雨水,null
292,516,最长回文子序列,null
110,225,用队列实现栈,null
111,232,用栈实现队列,null
105,901,股票价格跨度,null
106,907,子数组的最小值之和,null
109,456,132 模式,null
99,224,基本计算器,null
256,561,数组拆分,null
298,474,一和零,null
95,946,验证栈序列,null
108,402,移掉 K 位数字,null
104,581,最短无序连续子数组,null
125,111,二叉树的最小深度,null
132,101,对称二叉树,null
135,112,路径总和,null
226,46,全排列,null
78,19,删除链表的倒数第 N 个结点,null
126,129,求根结点到叶结点数字之和,null
47,209,长度最小的子数组,null
76,25,K 个一组翻转链表,null
217,994,腐烂的橘子,null
45,4,寻找两个正序数组的中位数,null
29,278,第一个错误的版本,null
133,257,二叉树的所有路径,null
48,713,乘积小于 K 的子数组,null
52,424,替换后的最长重复字符,null
302,518,零钱兑换 II,null
54,1004,最大连续 1 的个数 III,null
55,1493,删掉一个元素以后全为 1 的最长子数组,null
138,222,完全二叉树的结点个数,null
209,523,连续的子数组和,null
77,138,复制带随机指针的链表,null
81,141,环形链表,null
72,82,删除排序链表中的重复元素 II,null
74,328,奇偶链表,null
79,876,链表的中间结点,null
188,743,网络延迟时间,null
89,460,LFU 缓存,null
23,367,有效的完全平方数,本题属于「查找一个有范围的整数」，因此可以使用「二分查找」。
44,1011,在 D 天内送达包裹的能力,null
134,404,左叶子之和,null
26,35,搜索插入位置,"本题是非常典型的「必须要退出循环以后才能确定答案」的问题。

不管我们用的什么二分查找的模板，都逃不开「必须要退出循环以后才能确定答案」，这一点是问题本身决定的。

因此本站并不提倡大家背代码模板，对模板的错误理解和应用，容易导致思维混乱，逻辑冲突。"
27,34,在排序数组中查找元素的第一个和最后一个位置,null
121,451,根据字符出现频率排序,null
57,15,三数之和,null
61,977,有序数组的平方,null
157,230,二叉搜索树中第 k 小的元素,null
300,1049,最后一块石头的重量 II,null
84,143,重排链表,null
114,239,滑动窗口的最大值,null
262,120,三角形最小路径和,null
299,494,目标和,null
294,337,打家劫舍 III,null
189,778,水位上升的泳池中游泳,null
277,413,等差数列划分,null
194,130,被围绕的区域,null
192,684,冗余连接,null
196,778,水位上升的泳池中游泳,null
162,220,存在重复元素 III,null
268,300,最长上升子序列,null
285,221,最大正方形,null
159,449,序列化和反序列化二叉搜索树,null
199,208,实现 Trie,null
202,648,单词替换,null
43,875,爱吃香蕉的珂珂,null
122,973,最接近原点的 k 个点,null
160,235,二叉搜索树的最近公共祖先,null
139,563,二叉树的坡度,null
146,226,翻转二叉树,null
150,297,二叉树的序列化与反序列化,null
144,590,N 叉树的后序遍历,null
152,701,二叉搜索树中的插入操作,null
149,236,二叉树的最近公共祖先,null
156,450,删除二叉搜索树中的结点,null
164,705,设计哈希集合,null
181,532,数组中的 k-diff 数对,null
248,455,分发饼干,null
176,442,数组中重复的数据,null
171,1,两数之和,null
243,52,N 皇后 II,null
238,733,图像渲染,null
224,310,最小高度树,null
282,188,买卖股票的最佳时机 IV,null
269,152,乘积最大子序列,null
229,40,组合总和 II,null
272,96,不同的二叉搜索树,null
244,529,扫雷游戏,null
228,39,组合总和,null
242,51,N 皇后,null
236,17,电话号码的字母组合,null
259,861,翻转矩阵后的得分,null
251,56,合并区间,null
270,91,解码方法,null
279,377,组合总和 Ⅳ,null
271,139,单词拆分,null
