"id","exercise_id","review_enabled","review_tag","why_typical","site_review","sort_order","created_at","updated_at","is_deleted"
"1","120","t","优先队列","本题是「优先队列」的典型应用。","优先队列应用于动态求最值，中位数是前半部分的最大值，后半部分的最小值。数据是动态的，因此通过两个优先队列可以「动态地」求出中位数。","1","10/6/2026 21:34:11.367091","10/6/2026 21:34:11.367091","f"
"2","16","t","快速排序子过程","题号靠前，不难，但没学过算法很难做对（或者说答到考点）。","本题的考点是 partition，特指是三路快排。写对代码的关键是：把变量的定义和区间定义清楚。","2","10/6/2026 21:41:26.088024","10/6/2026 21:41:26.088024","f"
"3","26","t","二分查找（退出循环以后才能得到答案）","本题如果是套模板做，很可能能做对，但不能说清楚为什么代码这么写。","本题问题的本质是「必须退出循环以后才能确定答案」（区别与「可以在循环体内一下子找到答案」）。","3","10/6/2026 21:44:11.813026","10/6/2026 21:44:11.813026","f"
"4","303","t","循环不变量","本题不需要学习算法也能实现，主要考查编码的基本功（循环不变量）。","循环不变量不是什么高深的概念，就是让自己设计的变量的定义保持不变，所以我们一定要明确自己的变量定义，才能写出逻辑清晰的代码。","4","10/6/2026 23:01:29.700824","10/6/2026 23:01:29.700824","f"
"5","304","t","分而治之","题号靠前，分治算法典型例题。","大家不要记住递归，而要记「拆分问题」「解决问题」的思路。本题的思路是一半一半地拆，然后合并。代码写出来是递归，思想是分治。","5","10/6/2026 23:06:13.216661","10/6/2026 23:06:13.216661","f"
"6","13","t","分而治之","分治算法典型例题。","几乎就是写一次「归并排序」，「归并排序」是理解「分治算法」「递归」的很好的学习材料，多写几遍，一定会很有收获！","8","10/6/2026 23:06:13.55899","10/6/2026 23:06:13.55899","f"
"10","17","t","partition、优先队列","题号靠前，快速排序和优先队列的典型例题之一。","非常经典的问题，partition 和优先队列的解法思路很直接。","7","10/6/2026 23:10:15.453197","10/6/2026 23:10:15.453197","f"
"9","16","t","partition","题号靠前，快速排序的典型例题之一。","定义清楚变量和区间，编写代码的逻辑就很清晰了。","6","10/6/2026 23:10:15.453197","10/6/2026 23:10:15.453197","f"
"11","27","t","二分查找（需要退出循环以后才能确定）","如果乱套模板，会把代码写得很「乱」。","本质上本题属于「必须退出循环以后才能确定答案」的问题。","9","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"16","40","t","二分查找（需要退出循环以后才能确定）","本题也不能再循环体内一下子就找到答案。","本题有点难度，有很强的前提条件，可以当做例题学习。","14","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"12","28","t","二分查找（需要退出循环以后才能确定）","也是很简单的一道二分查找问题，查找一个有范围的整数，关键在理解题意：题目要找的是平方以后小于等于 x 的最大整数。","本质上本题属于「必须退出循环以后才能确定答案」的问题。","10","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"13","33","t","二分查找（需要退出循环以后才能确定）","旋转有序数组做这一题就可以了，其它旋转数组的问题在本题的基础上加了很多判别条件。","本质上本题属于「必须退出循环以后才能确定答案」的问题。","11","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"19","45","t","可以在循环体内找到，也可以留到最后。","题号靠前，比较经典的问题，有小概率会考到。","思想简单，找到单调性。编码较复杂，是一个比较好的练习。","17","11/6/2026 03:10:20.049294","11/6/2026 03:10:20.049294","f"
"14","35","t","二分查找（需要退出循环以后才能确定）","本题也不能再循环体内一下子就找到答案。","本题的「峰值」较难使用一个表达式表示出来，属于「必须退出循环以后才能确定答案」的问题。","12","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"15","36","t","二分查找（需要退出循环以后才能确定）","题目要求返回任何一个峰值即可，不能在循环体内找到答案。","本题的「峰顶」也较难使用一个表达式表示出来，属于「必须退出循环以后才能确定答案」的问题。","13","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"18","43","t","二分查找（需要退出循环以后才能确定）","本题类似「力扣」第 410 题，先搞懂那道问题再做本题思路就很清楚了。","虽然经常被归为「最大值极小化」问题，但本质上还是查找一个整数、查找最值，所以可以使用「二分查找」。","16","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"17","42","t","二分查找（需要退出循环以后才能确定）","本题是经典的「木棍分割」问题。","可以当做例题学习，搞懂之后可以解决类似的其它问题，例如「力扣」第 875 题：爱吃香蕉的珂珂。这一类问题题目的条件非常苛刻，满足了一定条件才能使用「二分查找」，重点要看清楚题目的关键条件。","15","11/6/2026 01:00:01.113081","11/6/2026 01:00:01.113081","f"
"21","47","t","滑动窗口","滑动窗口典型问题。","理解为什么可以使用「滑动窗口」。","19","11/6/2026 03:13:21.416756","11/6/2026 03:13:21.416756","f"
"20","46","t","滑动窗口","题号靠前，很经典的滑动窗口问题。","理解为什么可以使用「滑动窗口」。","18","11/6/2026 03:12:23.713153","11/6/2026 03:12:23.713153","f"
"23","57","t","双指针","双指针典型问题。","先理解「力扣」第 167 题，再做本题。","21","11/6/2026 03:17:58.597112","11/6/2026 03:17:58.597112","f"
"22","56","t","双指针","双指针典型问题。","理解为什么可以使用「双指针」。「双指针」其实可以理解为排除法，缩小搜索区间。本题是「力扣」第 15 题的前置问题。","20","11/6/2026 03:17:58.205822","11/6/2026 03:17:58.205822","f"
"25","59","t","双指针","双指针典型问题。","题号靠前。理解为什么可以使用「双指针」。","23","11/6/2026 08:03:24.916838","11/6/2026 08:03:24.916838","f"
"24","305","t","双指针","双指针典型问题。","题号靠前。理解为什么可以使用「双指针」。","22","11/6/2026 08:03:24.916838","11/6/2026 08:03:24.916838","f"
"26","63","t","缩小搜索区间","题目描述简单，如果没有看过解答还真不一定当场能够想到解法。","可以作为备考的题目背一背思路。","24","11/6/2026 19:38:03.606677","11/6/2026 19:38:13.805174","f"
"27","64","t","链表","链表学习第 1 题。","需要设计清楚修改指针链接的先后顺序，或者使用分治思想、递归实现。","25","11/6/2026 20:25:05.985153","11/6/2026 20:25:05.985199","f"
"28","67","t","链表","常规、基础问题。和「合并两个有序数组」的思路一样：看链表首结点。","可以自己设计指针修改，也可以使用递归。","26","11/6/2026 20:26:35.374151","11/6/2026 20:26:35.374206","f"
"29","78","t","链表","快慢指针典型问题。","常考问题，解法单一，记住解法即可。","27","11/6/2026 20:27:30.651264","11/6/2026 20:27:30.651315","f"
"31","82","t","链表","快慢指针典型问题。","常考问题，解法单一，记住解法即可。","28","11/6/2026 20:28:23.089766","11/6/2026 20:28:23.089876","f"
"30","81","t","链表","快慢指针典型问题。","常考问题，解法单一，记住解法即可。","29","11/6/2026 20:28:01.279251","11/6/2026 20:28:30.384066","f"
"32","88","t","双向链表、哈希表","常考算法与数据结构综合问题。","常考问题，靠前需要准备。","30","11/6/2026 20:29:37.257654","11/6/2026 20:29:47.70239","f"
"33","92","t","栈","题号靠前，常见基础考题。","分析清楚「后进先出」，得到使用「栈」。","31","11/6/2026 21:35:24.471839","11/6/2026 21:35:24.471969","f"
"34","110","t","栈、队列","题目描述简单，而且有的可聊，很多面试官爱考。","实际上不会有人这么用，当成一道面试题准备，记住「负负得正」的思路即可。","32","11/6/2026 21:37:33.442642","11/6/2026 21:37:33.442686","f"
"35","111","t","栈、队列","题目描述简单，而且有的可聊，很多面试官爱考。","实际上不会有人这么用，当成一道面试题准备，记住「负负得正」的思路即可。","33","11/6/2026 21:37:56.028706","11/6/2026 21:37:56.028937","f"
"36","114","t","队列（单调队列、双端队列）","单调队列就这一题，是非常常见的考题了。","本题像是结合和「栈」（后进先出）和「队列」（先进先出）的特点，因此合适的数据结构是双端队列这种数据结构（头尾都支持添加和删除数据）。","34","11/6/2026 21:39:46.571936","11/6/2026 21:39:55.817608","f"
"37","118","t","优先队列","「合并两个有序数组」的扩展，常被称为「多路合并」问题。","思路很简单，在纸上编码没有那么容易，需要练习。","35","11/6/2026 21:44:18.979928","11/6/2026 21:44:18.979997","f"
"38","124","t","树","树的基础、常规问题。","使用深度优先遍历，记成「递归」也可以。","36","11/6/2026 21:56:07.903708","11/6/2026 21:56:26.380998","f"
"39","125","t","树","树的常规、基础问题。","广度优先遍历思路更直接，深度优先遍历有个小细节需要考虑到。","37","11/6/2026 22:12:03.343601","11/6/2026 22:12:03.343715","f"
"40","147","t","深度优先遍历、递归、哈希表","题目描述简单，面试、笔试有的可聊。","对前序、中序遍历定义的考查，还需要结合哈希表避免重复计算。","38","11/6/2026 22:36:10.247019","11/6/2026 22:36:16.844976","f"
"41","149","t","后序遍历","题目描述简单，并且相对容易筛选出是否学习过算法与数据结构。","结合公共祖先的定义，应该向上看，向上看就是「后序遍历」。如果硬从代码本身来记，会记成递归，就比较难记。","39","11/6/2026 22:38:02.033067","11/6/2026 22:38:02.033217","f"
"42","150","t","深度优先遍历、广度优先遍历","常考问题，题目描述简单。","树的问题基本上不是深度优先遍历，就是广度优先遍历。本题代码编码并不容易，面试笔试前需要练习。","40","11/6/2026 23:17:10.927174","11/6/2026 23:17:10.927241","f"
"43","146","t","树","树的基础问题，且有话题性（说是 homebrew 的作者面试的时候也没有做出来，我觉得这太正常了，也不能说明什么）。","用遍历，深度优先遍历或者广度优先遍历。","41","11/6/2026 23:39:07.680981","11/6/2026 23:39:07.681113","f"
"44","157","t","二叉搜索树","本题描述简单，且考查知识点简单直接。","写法挺多的，在面试、笔试前需要练习。","42","11/6/2026 23:43:35.500055","11/6/2026 23:43:35.500171","f"
"45","171","t","哈希表、「力扣」第一题","「力扣」第一题，描述简单。","如果没有学习过哈希表，不知道哈希表数据结构，本题很难以 O(n) 复杂度实现。","43","11/6/2026 23:47:30.3297","11/6/2026 23:47:30.329805","f"
"46","178","t","原地哈希","原地哈希的典型应用。","注意到数据的数值范围有限，数组本身就可以当做哈希表使用。","44","11/6/2026 23:49:36.89939","11/6/2026 23:49:36.89955","f"
"47","183","t","哈希表","典型哈希表的应用。","题号靠前，解法也需要一定的思考，面试笔试前需要做一下，复习一次。","45","11/6/2026 23:50:39.36083","11/6/2026 23:50:39.360973","f"
"48","226","t","回溯算法","题号靠前，题目描述简单。","考察是否学习过算法与数据结构的问题。","46","12/6/2026 00:09:55.768569","12/6/2026 00:09:55.768631","f"
"49","235","t","回溯算法","题号靠前，常考基础问题。","画出递归树，根据递归树编码。","47","12/6/2026 00:10:44.598967","12/6/2026 00:10:44.599078","f"
"50","239","t","回溯算法","常考问题。","深度优先遍历、广度优先遍历都可以实现。","48","12/6/2026 00:12:20.871031","12/6/2026 00:12:20.871183","f"
"51","240","t","回溯算法","常考基础问题。","回溯算法的基础问题，代码较难一次写对，在面试、笔试前需要练习。","49","12/6/2026 00:39:15.085406","12/6/2026 00:39:24.765156","f"
"52","242","t","回溯算法","题号靠前，描述简单。","根据 3 个规则，已经放好的皇后位置需要记录下来。","50","12/6/2026 00:40:41.570078","12/6/2026 00:40:41.570448","f"
"53","261","t","动态规划","动态规划基础问题，其实就是斐波拉契数列。","动态规划问题，如果之前没有学习过，在面试的时候较难写出来。","51","12/6/2026 00:41:35.473196","12/6/2026 00:41:35.473347","f"
"54","262","t","动态规划","题号靠前，动态规划经典问题。","需定义清楚状态，边界条件的讨论也需要注意。","52","12/6/2026 00:44:25.755566","12/6/2026 00:44:25.755737","f"
"55","266","t","动态规划","非常经典的动态规划问题。","状态定义需要清楚「以什么什么结尾」，「结尾」很重要。","53","12/6/2026 00:45:41.575568","12/6/2026 00:45:41.575724","f"
"56","267","t","动态规划","非常经典的动态规划问题。","写法不唯一，定义清楚状态即可写出。","54","12/6/2026 00:46:24.730784","12/6/2026 00:46:24.730924","f"
"57","268","t","动态规划","动态规划经典问题，学习动态规划基本都会学习到这道问题。","O(n log n) 解法需要描述清楚状态。","55","12/6/2026 00:49:05.588795","12/6/2026 00:49:05.588918","f"
"58","269","t","动态规划","经典动态规划问题。","和「力扣」第 53 题（最大子段和）类似状态定义。","56","12/6/2026 02:03:48.490598","12/6/2026 02:03:48.490648","f"
"59","270","t","动态规划",,,"57","12/6/2026 02:04:22.959325","12/6/2026 02:04:22.959397","f"
"60","271","t","动态规划",,,"58","12/6/2026 02:04:55.39065","12/6/2026 02:04:55.390714","f"
"61","273","t","动态规划",,,"59","12/6/2026 02:05:37.719647","12/6/2026 02:05:37.719698","f"
"62","274","t","动态规划",,,"60","12/6/2026 02:06:00.394051","12/6/2026 02:06:00.394264","f"
"63","275","t","动态规划",,,"61","12/6/2026 02:06:43.564584","12/6/2026 02:06:43.564632","f"
"64","285","t","动态规划",,,"62","12/6/2026 02:07:54.247608","12/6/2026 02:08:05.704882","f"
"65","286","t","动态规划",,,"63","12/6/2026 02:08:25.757563","12/6/2026 02:08:25.757772","f"
"66","289","t","动态规划",,,"64","12/6/2026 02:08:49.211181","12/6/2026 02:09:09.196974","f"
"67","294","t","动态规划",,,"65","12/6/2026 02:09:43.46053","12/6/2026 02:09:48.52617","f"
"68","295","t","动态规划",,,"66","12/6/2026 02:10:11.180722","12/6/2026 02:10:11.180861","f"
"69","306","t","动态规划","在「力扣」0-1 背包问题不多，本题题号靠前。","需要理解问题如何转换成 0-1 背包问题。","67","12/6/2026 02:22:25.215546","12/6/2026 02:22:33.783588","f"
"70","246","t","贪心算法",,,"68","12/6/2026 02:23:04.997712","12/6/2026 02:23:04.997855","f"
"71","218","t","广度优先遍历","题号靠前的经典的、使用广度优先遍历解决的问题。","思想简单，可以考察编码的广度优先遍历的问题。","69","12/6/2026 02:24:44.108185","12/6/2026 02:24:44.108257","f"
"72","208","t","前缀和与哈希表","重点在如何想到使用哈希表。","本题前缀和数组以哈希表的形式出现。","70","12/6/2026 02:25:55.274143","12/6/2026 02:25:55.274222","f"
